Title,Year,Authors,Count,DOI
The Paradigms of Biology,2012,Marcello Barbieri,20,10.1007/s12304-012-9149-1
The Biosemiotic Concept of the Species,2016,Kalevi Kull,19,10.1007/s12304-016-9259-2
"What Does it Take to Produce Interpretation? Informational, Peircean and Code-Semiotic Views on Biosemiotics",2012,"Søren Brier, Cliff Joslyn",19,10.1007/s12304-012-9153-5
The Process of Info-Autopoiesis – the Source of all Information,2020,Jaime F. Cárdenas-García,19,10.1007/s12304-020-09384-x
Scaffolding Development and the Human Condition,2015,"Paul Cobley, Frederik Stjernfelt",19,10.1007/s12304-015-9238-z
The Biosemiotic Fundamentals of Aesthetics: Beauty is the Perfect Semiotic Fitting,2022,Kalevi Kull,19,10.1007/s12304-022-09476-w
"Genetic Information, Physical Interpreters and Thermodynamics; The Material-Informatic Basis of Biosemiosis",2013,Peter R. Wills,18,10.1007/s12304-013-9196-2
Semiotic Fitting and the Nativeness of Community,2020,Kalevi Kull,18,10.1007/s12304-020-09375-y
"DNA Dispose, but Subjects Decide. Learning and the Extended Synthesis",2015,Markus Lindholm,18,10.1007/s12304-015-9242-3
Active Inference and Abduction,2021,"Ahti-Veikko Pietarinen, Majid D. Beni",18,10.1007/s12304-021-09432-0
"The System of Interpretance, Naturalizing Meaning as Finality",2008,Stanley N. Salthe,18,10.1007/s12304-008-9023-3
Evolutionary Biosemiotics and Multilevel Construction Networks,2016,Alexei A. Sharov,18,10.1007/s12304-016-9269-0
"Biosemiotics, the Extended Synthesis, and Ecological Information: Making Sense of the Organism-Environment Relation at the Cognitive Level",2018,"Manuel Heras-Escribano, Paulo de Jesus",17,10.1007/s12304-018-9322-2
Applying Semiotics and Information Theory to Biology: A Critical Comparison,2009,Gérard Battail,17,10.1007/s12304-009-9062-4
The Fundamental Problem of the Science of Information,2019,"Jaime F. Cárdenas-García, Timothy Ireland",17,10.1007/s12304-019-09350-2
Towards Synthesis of Biology and Semiotics,2015,"Alexei Sharov, Timo Maran, Morten Tønnessen",16,10.1007/s12304-015-9239-y
How Is Meaning Grounded in the Organism?,2010,"Liz Stillwaggon Swan, Louis J. Goldberg",16,10.1007/s12304-010-9072-2
Learning Plants: Semiosis Between the Parts and the Whole,2013,Ramsey Affifi,16,10.1007/s12304-013-9164-x
Plant as Object within Herbal Landscape: Different Kinds of Perception,2010,"Renata Sõukand, Raivo Kalle",15,10.1007/s12304-010-9078-9
From Sound to Music: An Evolutionary Approach to Musical Semantics,2013,Mark Reybrouck,15,10.1007/s12304-013-9192-6
Building a Scaffold: Semiosis in Nature and Culture,2015,John Deely,15,10.1007/s12304-015-9237-0
I Am a Fake Loop: the Effects of Advertising-Based Artificial Selection,2018,Yogi Hale Hendlin,15,10.1007/s12304-018-9341-z
Rural Sanctuary: an Ecosemiotic Agency to Preserve Human Cultural Heritage and Biodiversity,2018,Almo Farina,15,10.1007/s12304-018-9319-x
"Anticipatory Functions, Digital-Analog Forms and Biosemiotics: Integrating the Tools to Model Information and Normativity in Autonomous Biological Agents",2012,"Argyris Arnellos, Luis Emilio Bruni, Charbel Niño El-Hani, John Collier",15,10.1007/s12304-012-9146-4
Introduction to Code Biology,2014,Marcello Barbieri,15,10.1007/s12304-014-9212-1
The Biosemiotic Glossary Project: The Semiotic Threshold,2017,"Claudio Julio Rodríguez Higuera, Kalevi Kull",15,10.1007/s12304-017-9289-4
"Perceive, Co-opt, Modify, and Live! Organism as a Centre of Experience",2010,Karel Kleisner,15,10.1007/s12304-010-9093-x
Recorded Versus Organic Memory: Interaction of Two Worlds as Demonstrated by the Chromatin Dynamics,2009,"Anton Markoš, Jana Švorcová",15,10.1007/s12304-009-9045-5
Role of Utility and Inference in the Evolution of Functional Information,2009,Alexei A. Sharov,14,10.1007/s12304-008-9032-2
Steps to a Semiotics of Being,2010,Morten Tønnessen,14,10.1007/s12304-010-9074-0
"Mimicry, Camouflage and Perceptual Exploitation: the Evolution of Deception in Nature",2018,Enrique Font,14,10.1007/s12304-018-9339-6
A Multiscale Approach to Investigate the Biosemiotic Complexity of Two Acoustic Communities in Primary Forests with High Ecosystem Integrity Recorded with 3D Sound Technologies,2019,"David Monacchi, Almo Farina",14,10.1007/s12304-019-09361-z
On the Emergence of Living Systems,2009,Bruce H. Weber,14,10.1007/s12304-009-9060-6
Hierarchical Categorical Perception in Sensing and Cognitive Processes,2008,Luis Emilio Bruni,14,10.1007/s12304-008-9001-9
Turtles Are Not Just Walking Stones: Conspicuous Coloration and Sexual Selection in Freshwater Turtles,2015,"Jindřich Brejcha, Karel Kleisner",13,10.1007/s12304-015-9249-9
"Uexküll, Peirce, and Other Affinities Between Biosemiotics and Biolinguistics",2008,Prisca Augustyn,13,10.1007/s12304-008-9028-y
Natural Code of Subjective Experience,2022,Ilya A. Surov,13,10.1007/s12304-022-09487-7
The Symptom,2011,Kathryn Staiano-Ross,13,10.1007/s12304-011-9112-6
On the Diversity of Environmental Signs: a Typological Approach,2017,Timo Maran,13,10.1007/s12304-017-9308-5
On the Semio-Mathematical Nature of Codes,2008,"Yair Neuman, Ophir Nave",12,10.1007/s12304-008-9004-6
Biological Pedagogy as Concern for Semiotic Growth,2013,Ramsey Affifi,12,10.1007/s12304-013-9178-4
A Mechanistic Model of Meaning,2010,Marcello Barbieri,12,10.1007/s12304-010-9103-z
Why Was Thomas A. Sebeok Not a Cognitive Ethologist? From “Animal Mind” to “Semiotic Self”,2010,Timo Maran,11,10.1007/s12304-010-9079-8
Human Distributed Cognition from an Organism-in-Its-Environment Perspective,2017,"Jaime F. Cárdenas-García, Timothy Ireland",11,10.1007/s12304-017-9293-8
