id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
15	mark reybrouck (2012)	"<table><tr><td>Authors:</td><td>mark reybrouck</td></tr><tr><td>Title:</td><td>musical sense-making and the concept of affordance: an ecosemiotic and experiential approach</td></tr><tr><td>Source:</td><td>biosemiotics, 5(3), 391-409</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-012-9144-6	0.0368	-0.5028	4	290	593	71	4.1183	2012	71	4.1183
16	jesper hoffmeyer (2015a)	"<table><tr><td>Authors:</td><td>jesper hoffmeyer; frederik stjernfelt</td></tr><tr><td>Title:</td><td>the great chain of semiosis. investigating the steps in the evolution of semiotic competence</td></tr><tr><td>Source:</td><td>biosemiotics, 9(1), 7-29</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-015-9247-y	0.0585	0.2051	5	184	275	63	1.6726	2015	63	1.6726
17	jaime f. cárdenas‐garcía (2020)	"<table><tr><td>Authors:</td><td>jaime f. cárdenas‐garcía</td></tr><tr><td>Title:</td><td>the process of info-autopoiesis – the source of all information</td></tr><tr><td>Source:</td><td>biosemiotics, 13(2), 199-221</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-020-09384-x	-0.873	-0.2371	7	145	322	41	4.9813	2020	41	4.9813
18	morten tønnessen (2009)	"<table><tr><td>Authors:</td><td>morten tønnessen</td></tr><tr><td>Title:</td><td>umwelt transitions: uexküll and environmental change</td></tr><tr><td>Source:</td><td>biosemiotics, 2(1), 47-64</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-008-9036-y	0.3427	-0.3352	11	243	405	62	3.8657	2009	62	3.8657
19	paul cobley (2010)	"<table><tr><td>Authors:</td><td>paul cobley</td></tr><tr><td>Title:</td><td>the cultural implications of biosemiotics</td></tr><tr><td>Source:</td><td>biosemiotics, 3(2), 225-244</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-010-9089-6	-0.2047	-0.1014	5	331	730	60	4.2162	2010	60	4.2162
20	kalevi kull (2010)	"<table><tr><td>Authors:</td><td>kalevi kull</td></tr><tr><td>Title:</td><td>ecosystems are made of semiosic bonds: consortia, umwelten, biophony and ecological codes</td></tr><tr><td>Source:</td><td>biosemiotics, 3(3), 347-357</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-010-9081-1	0.1858	0.0359	7	165	239	59	4.1459	2010	59	4.1459
21	sławomir wacewicz (2014)	"<table><tr><td>Authors:</td><td>sławomir wacewicz; przemysław żywiczyński</td></tr><tr><td>Title:</td><td>language evolution: why hockett’s design features are a non-starter</td></tr><tr><td>Source:</td><td>biosemiotics, 8(1), 29-46</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-014-9203-2	0.2584	-0.683	6	199	338	51	4.0861	2014	51	4.0861
22	jesper hoffmeyer (2015b)	"<table><tr><td>Authors:</td><td>jesper hoffmeyer</td></tr><tr><td>Title:</td><td>introduction: semiotic scaffolding</td></tr><tr><td>Source:</td><td>biosemiotics, 8(2), 153-158</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-015-9236-1	-0.8376	-0.097	2	110	141	48	1.2743	2015	48	1.2743
23	kalevi kull (2015)	"<table><tr><td>Authors:</td><td>kalevi kull</td></tr><tr><td>Title:</td><td>evolution, choice, and scaffolding: semiosis is changing its own building</td></tr><tr><td>Source:</td><td>biosemiotics, 8(2), 223-234</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-015-9243-2	0.263	-0.0142	1	154	238	45	1.1947	2015	45	1.1947
24	morten tønnessen (2015)	"<table><tr><td>Authors:</td><td>morten tønnessen</td></tr><tr><td>Title:</td><td>the biosemiotic glossary project: agent, agency</td></tr><tr><td>Source:</td><td>biosemiotics, 8(1), 125-143</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-015-9229-0	-0.5803	0.0621	2	301	669	43	1.1416	2015	43	1.1416
