title,DOI,cited,authors,year
The Paradigms of Biology,10.1007/s12304-012-9149-1,20,Marcello Barbieri,2012
The Biosemiotic Concept of the Species,10.1007/s12304-016-9259-2,19,Kalevi Kull,2016
"What Does it Take to Produce Interpretation? Informational, Peircean and Code-Semiotic Views on Biosemiotics",10.1007/s12304-012-9153-5,19,"Søren Brier, Cliff Joslyn",2012
The Process of Info-Autopoiesis – the Source of all Information,10.1007/s12304-020-09384-x,19,Jaime F. Cárdenas-García,2020
Scaffolding Development and the Human Condition,10.1007/s12304-015-9238-z,19,"Paul Cobley, Frederik Stjernfelt",2015
The Biosemiotic Fundamentals of Aesthetics: Beauty is the Perfect Semiotic Fitting,10.1007/s12304-022-09476-w,19,Kalevi Kull,2022
"Genetic Information, Physical Interpreters and Thermodynamics; The Material-Informatic Basis of Biosemiosis",10.1007/s12304-013-9196-2,18,Peter R. Wills,2013
Semiotic Fitting and the Nativeness of Community,10.1007/s12304-020-09375-y,18,Kalevi Kull,2020
"DNA Dispose, but Subjects Decide. Learning and the Extended Synthesis",10.1007/s12304-015-9242-3,18,Markus Lindholm,2015
Active Inference and Abduction,10.1007/s12304-021-09432-0,18,"Ahti-Veikko Pietarinen, Majid D. Beni",2021
"The System of Interpretance, Naturalizing Meaning as Finality",10.1007/s12304-008-9023-3,18,Stanley N. Salthe,2008
Evolutionary Biosemiotics and Multilevel Construction Networks,10.1007/s12304-016-9269-0,18,Alexei A. Sharov,2016
"Biosemiotics, the Extended Synthesis, and Ecological Information: Making Sense of the Organism-Environment Relation at the Cognitive Level",10.1007/s12304-018-9322-2,17,"Manuel Heras-Escribano, Paulo de Jesus",2018
Applying Semiotics and Information Theory to Biology: A Critical Comparison,10.1007/s12304-009-9062-4,17,Gérard Battail,2009
The Fundamental Problem of the Science of Information,10.1007/s12304-019-09350-2,17,"Jaime F. Cárdenas-García, Timothy Ireland",2019
Towards Synthesis of Biology and Semiotics,10.1007/s12304-015-9239-y,16,"Alexei Sharov, Timo Maran, Morten Tønnessen",2015
How Is Meaning Grounded in the Organism?,10.1007/s12304-010-9072-2,16,"Liz Stillwaggon Swan, Louis J. Goldberg",2010
Learning Plants: Semiosis Between the Parts and the Whole,10.1007/s12304-013-9164-x,16,Ramsey Affifi,2013
Plant as Object within Herbal Landscape: Different Kinds of Perception,10.1007/s12304-010-9078-9,15,"Renata Sõukand, Raivo Kalle",2010
From Sound to Music: An Evolutionary Approach to Musical Semantics,10.1007/s12304-013-9192-6,15,Mark Reybrouck,2013
Building a Scaffold: Semiosis in Nature and Culture,10.1007/s12304-015-9237-0,15,John Deely,2015
I Am a Fake Loop: the Effects of Advertising-Based Artificial Selection,10.1007/s12304-018-9341-z,15,Yogi Hale Hendlin,2018
Rural Sanctuary: an Ecosemiotic Agency to Preserve Human Cultural Heritage and Biodiversity,10.1007/s12304-018-9319-x,15,Almo Farina,2018
"Anticipatory Functions, Digital-Analog Forms and Biosemiotics: Integrating the Tools to Model Information and Normativity in Autonomous Biological Agents",10.1007/s12304-012-9146-4,15,"Argyris Arnellos, Luis Emilio Bruni, Charbel Niño El-Hani, John Collier",2012
